date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:15:49	69/69	---MCZ	200	added ('OK')	text/plain	date:Wed,%2024%20Jun%202020%2014:15:48%20GMT	https://requid.com/robots.txt		(from )
15:15:53	44727/44727	---MCZ	200	added ('OK')	text/html	date:Wed,%2024%20Jun%202020%2014:15:49%20GMT	https://requid.com/	C:/My%20Web%20Sites/requid/requid.com/index.html	(from )
15:15:54	42/42	---MC-	405	error ('Method%20Not%20Allowed')	text/plain	date:Wed,%2024%20Jun%202020%2014:15:54%20GMT	https://requid.com/xmlrpc.php	C:/My%20Web%20Sites/requid/requid.com/xmlrpc.php	(from https://requid.com/)
15:15:56	50/50	---M--	200	added ('OK')	application/javascript	etag:%22104d46a3208b40e8ded389332f5a78a3%22	https://chimpstatic.com/mcjs-connected/js/users/1536e9d95b19a53a8ec8d355d/4054a5cc208b9f56eded34d32.js	C:/My%20Web%20Sites/requid/chimpstatic.com/mcjs-connected/js/users/1536e9d95b19a53a8ec8d355d/4054a5cc208b9f56eded34d32.js	(from https://requid.com/)
15:15:57	3405/3405	---MCZ	200	added ('OK')	text/css	date:Mon,%2002%20Sep%202019%2013:26:45%20GMT	https://requid.com/wp-content/themes/thegem/css/thegem-preloader.css?ver=5.2.7	C:/My%20Web%20Sites/requid/requid.com/wp-content/themes/thegem/css/thegem-preloader6e7a.css	(from https://requid.com/)
15:15:57	411858/411858	---M--	200	added ('OK')	image/png	date:Mon,%2023%20Sep%202019%2017:46:33%20GMT	https://requid.com/wp-content/uploads/2019/09/Group-2-iii.png?id=24657	C:/My%20Web%20Sites/requid/requid.com/wp-content/uploads/2019/09/Group-2-iiie577.png	(from https://requid.com/)
15:15:57	4099/4099	---MCZ	200	added ('OK')	text/css	date:Mon,%2002%20Sep%202019%2013:26:45%20GMT	https://requid.com/wp-content/themes/thegem/css/thegem-reset.css?ver=5.2.7	C:/My%20Web%20Sites/requid/requid.com/wp-content/themes/thegem/css/thegem-reset6e7a.css	(from https://requid.com/)
15:15:57	10841/10841	---MCZ	200	added ('OK')	text/css	date:Mon,%2002%20Sep%202019%2013:26:45%20GMT	https://requid.com/wp-content/themes/thegem/css/thegem-grid.css?ver=5.2.7	C:/My%20Web%20Sites/requid/requid.com/wp-content/themes/thegem/css/thegem-grid6e7a.css	(from https://requid.com/)
15:15:58	276128/276128	---MCZ	200	added ('OK')	text/css	date:Mon,%2002%20Sep%202019%2013:26:45%20GMT	https://requid.com/wp-content/themes/thegem/style.css?ver=5.2.7	C:/My%20Web%20Sites/requid/requid.com/wp-content/themes/thegem/style6e7a.css	(from https://requid.com/)
15:15:58	17877/17877	---MCZ	200	added ('OK')	text/css	date:Mon,%2002%20Sep%202019%2013:26:45%20GMT	https://requid.com/wp-content/themes/thegem/css/thegem-header.css?ver=5.2.7	C:/My%20Web%20Sites/requid/requid.com/wp-content/themes/thegem/css/thegem-header6e7a.css	(from https://requid.com/)
15:15:58	63233/63233	---MCZ	200	added ('OK')	text/css	date:Mon,%2002%20Sep%202019%2013:26:45%20GMT	https://requid.com/wp-content/themes/thegem/css/thegem-widgets.css?ver=5.2.7	C:/My%20Web%20Sites/requid/requid.com/wp-content/themes/thegem/css/thegem-widgets6e7a.css	(from https://requid.com/)
15:15:58	51019/51019	---MCZ	200	added ('OK')	text/css	date:Mon,%2002%20Sep%202019%2013:26:45%20GMT	https://requid.com/wp-content/themes/thegem/css/thegem-new-css.css?ver=5.2.7	C:/My%20Web%20Sites/requid/requid.com/wp-content/themes/thegem/css/thegem-new-css6e7a.css	(from https://requid.com/)
15:15:59	719/719	---MC-	200	added ('OK')	application/rss+xml	etag:%22f1932a870868b88eccae30c1ad623496%22	https://requid.com/comments/feed/	C:/My%20Web%20Sites/requid/requid.com/comments/feed/index.html	(from https://requid.com/)
15:15:59	18187/18187	---MCZ	200	added ('OK')	text/css	date:Mon,%2002%20Sep%202019%2013:26:45%20GMT	https://requid.com/wp-content/themes/thegem/css/thegem-perevazka-css.css?ver=5.2.7	C:/My%20Web%20Sites/requid/requid.com/wp-content/themes/thegem/css/thegem-perevazka-css6e7a.css	(from https://requid.com/)
15:15:59	32973/32973	---MC-	200	added ('OK')	application/rss+xml	etag:%22c0645cc943e9491136c2c233752956ce%22	https://requid.com/feed/	C:/My%20Web%20Sites/requid/requid.com/feed/index.html	(from https://requid.com/)
